ZIP,15-24,25-44,45-64,65+
ZCTA5 01073,0,24.2,46.5,29.3
ZCTA5 01074,0,13.7,86.3,0
ZCTA5 01075,0.8,26.9,37.7,34.6
ZCTA5 01077,0.7,23.3,41,35.1
ZCTA5 01079,0,20.2,49.4,30.4
ZCTA5 01080,2.3,45.1,36.8,15.8
ZCTA5 01081,3.7,23.7,47,25.7
ZCTA5 01082,2.3,29.9,38.9,28.8
ZCTA5 01083,0,36.2,47.7,16
ZCTA5 01084,6.7,13.3,42.7,37.3
ZCTA5 01085,3.6,27.6,40.3,28.5
ZCTA5 01086,-,-,-,-
ZCTA5 01088,5.4,21.9,57,15.7
ZCTA5 01089,2.4,31.5,41.7,24.4
ZCTA5 01092,5.6,35.6,39.9,18.9
ZCTA5 01093,0,13.7,41,45.3
ZCTA5 01094,0,13.7,29.3,57.1
ZCTA5 01095,0,22.9,42.5,34.6
ZCTA5 01096,3.1,21.3,45.3,30.3
ZCTA5 01097,0,30,55,15
ZCTA5 01098,0.9,19,43.2,37
ZCTA5 01103,6.2,39.6,39.4,14.7
ZCTA5 01104,2.7,33.8,39.5,24
ZCTA5 01105,4.2,41.1,37.3,17.4
ZCTA5 01106,0,23.7,44.4,31.9
ZCTA5 01107,5.5,40.1,35,19.4
ZCTA5 01108,5.2,38.4,38.4,18
ZCTA5 01109,4.7,33.3,39.5,22.5
ZCTA5 01118,1.1,34.4,39.4,25.2
ZCTA5 01119,3.6,25.8,41.4,29.1
ZCTA5 01128,1.5,26,38.4,34.1
ZCTA5 01129,5.1,31,35.7,28.2
ZCTA5 01151,2.4,41.9,35.5,20.2
ZCTA5 01199,-,-,-,-
ZCTA5 01201,3.1,27.9,39.1,29.9
ZCTA5 01220,2.1,29.5,39,29.4
ZCTA5 01222,0,31.5,35,33.5
ZCTA5 01223,0,18.2,49.4,32.4
ZCTA5 01224,0,43.8,56.3,0
ZCTA5 01225,0,20,46.6,33.4
ZCTA5 01226,1.7,20.6,43.4,34.3
ZCTA5 01229,0,0,41.7,58.3
ZCTA5 01230,1.8,19.5,43.2,35.5
ZCTA5 01235,1.4,20.3,48.2,30.1
ZCTA5 01236,22.7,13.6,37.9,25.8
ZCTA5 01237,1.5,15.3,45.5,37.6
ZCTA5 01238,1.3,28,31.8,38.9
ZCTA5 01240,2.2,11.7,28.3,57.8
ZCTA5 01242,0,48.1,20.6,31.3
ZCTA5 01243,0,1.4,70.8,27.8
ZCTA5 01244,0,24.1,19,56.9
ZCTA5 01245,0.8,15.6,39,44.6
ZCTA5 01247,4.3,22.4,41,32.2
ZCTA5 01253,0,10.1,46.6,43.3
ZCTA5 01254,0,17.6,34.1,48.3
ZCTA5 01255,0,20.4,46.5,33.1
ZCTA5 01256,0,17.7,48.1,34.1
ZCTA5 01257,0,15.4,36.4,48.3
ZCTA5 01258,0,15.9,52.8,31.3
ZCTA5 01259,2.4,8.7,49.7,39.2
ZCTA5 01260,0,0,68.6,31.4
ZCTA5 01262,2.4,10,31.4,56.1
ZCTA5 01264,2.5,13.8,30,53.8
ZCTA5 01266,0.9,8,49.5,41.6
ZCTA5 01267,2.5,22.5,35.4,39.6
ZCTA5 01270,0,18.4,50.1,31.5
ZCTA5 01301,1.5,29.9,37.3,31.3
ZCTA5 01330,0,14.1,52.3,33.6
ZCTA5 01331,2,26.6,44.5,26.9
ZCTA5 01337,0,22.9,45.9,31.1
ZCTA5 01338,0,0,60.7,39.3
ZCTA5 01339,1.6,15.5,38.4,44.4
ZCTA5 01340,4.6,17.6,44.3,33.5
ZCTA5 01341,0,19.5,45.6,34.8
ZCTA5 01342,6,14.8,40,39.2
ZCTA5 01343,0,6.9,65.5,27.6
ZCTA5 01344,0.7,19.8,49.5,30
ZCTA5 01346,0,13.1,32.2,54.6
ZCTA5 01347,16.7,37.2,10.3,35.9
ZCTA5 01349,2,37.8,36.8,23.4
ZCTA5 01350,0,26.5,40.8,32.7
ZCTA5 01351,0,25.2,48.4,26.5
ZCTA5 01354,1.6,18.8,43.4,36.3
ZCTA5 01355,0,14.6,53,32.4
ZCTA5 01360,0.8,22.4,45.6,31.2
ZCTA5 01364,1.8,23.5,45.3,29.4
ZCTA5 01366,0,16.1,42.3,41.6
ZCTA5 01367,2.1,23.2,38,36.7
ZCTA5 01368,0,18.4,45.8,35.8
ZCTA5 01370,0.8,21.4,43.3,34.5
ZCTA5 01373,0.2,24.3,45.3,30.2
ZCTA5 01375,13.9,37.9,28.5,19.7
ZCTA5 01376,3.1,25.9,41.1,29.9
ZCTA5 01378,0,15.7,56.5,27.8
ZCTA5 01379,0,22.2,45.4,32.4
ZCTA5 01420,4.9,33,39.2,22.9
ZCTA5 01430,0.3,26.9,50.6,22.1
ZCTA5 01431,0.4,26.6,49.9,23.1
ZCTA5 01432,2.5,34.6,38.5,24.4
ZCTA5 01434,0,32.2,41.4,26.4
ZCTA5 01436,1.1,25.7,44.5,28.7
ZCTA5 01438,0,31.3,68.7,0
ZCTA5 01440,2.5,30.8,41.4,25.3
ZCTA5 01450,0,20.3,55.2,24.4
ZCTA5 01451,0,21.9,51,27
ZCTA5 01452,0,22.7,46.3,30.9
ZCTA5 01453,2.5,31.7,41.9,23.9
ZCTA5 01460,1.2,22.8,52.5,23.4
ZCTA5 01462,1.3,24.6,48.4,25.7
ZCTA5 01463,1.8,21.7,51.2,25.3
ZCTA5 01464,3,12.8,57,27.2
ZCTA5 01467,0,10.8,27,62.2
ZCTA5 01468,0.8,29.1,41.9,28.2
ZCTA5 01469,1.2,27.5,47.6,23.7
ZCTA5 01473,0.9,21.7,50.7,26.8
ZCTA5 01474,0,10.2,64.5,25.3
ZCTA5 01475,0.8,29.1,44.6,25.6
ZCTA5 01501,0.3,25,42.9,31.8
ZCTA5 01503,0,19.7,39.7,40.6
ZCTA5 01504,0,28.9,45,26.1
ZCTA5 01505,1.3,26.2,46.2,26.3
ZCTA5 01506,1.3,25.6,40.5,32.7
ZCTA5 01507,1.3,27.1,49.4,22.2
ZCTA5 01510,4.9,34.8,39.2,21.1
ZCTA5 01515,3.5,30.7,36.9,28.9
ZCTA5 01516,4.9,22.4,51.9,20.8
ZCTA5 01518,0,50.5,25.6,24
ZCTA5 01519,1.2,28.6,51,19.2
ZCTA5 01520,1.2,25.7,46.5,26.6
ZCTA5 01521,0.5,26.3,46.4,26.7
ZCTA5 01522,0.9,25.2,44.3,29.6
ZCTA5 01523,0,22,45.5,32.6
ZCTA5 01524,3.3,20.3,52.8,23.5
ZCTA5 01525,14.3,41,29.5,15.2
ZCTA5 01527,1.7,26.6,45.4,26.4
ZCTA5 01529,0.4,31.7,48.7,19.3
ZCTA5 01531,0,22.4,59.6,18
ZCTA5 01532,0.4,27.9,48.5,23.1
ZCTA5 01534,0,28.7,42.9,28.4
ZCTA5 01535,1.3,25.6,46.4,26.7
ZCTA5 01536,0.3,33,42.7,24
ZCTA5 01537,7.3,37.2,33.8,21.7
ZCTA5 01540,1.8,29.4,47.3,21.5
ZCTA5 01541,0,14.6,52.5,32.9
ZCTA5 01542,0,40.2,33.6,26.2
ZCTA5 01543,1,34.2,45.1,19.8
ZCTA5 01545,0.5,30.2,42.7,26.6
ZCTA5 01550,4.2,32.1,41.8,21.9
ZCTA5 01560,1,35.1,42.9,21
ZCTA5 01561,0,0,0,100
ZCTA5 01562,0.9,24.7,48.7,25.7
ZCTA5 01564,1.8,22.7,48.9,26.7
ZCTA5 01566,0,22.1,48.1,29.8
ZCTA5 01568,0.6,25.4,49.6,24.4
ZCTA5 01569,1,27.2,48.7,23
ZCTA5 01570,3.2,27.8,42.2,26.8
ZCTA5 01571,3.1,23.9,45.2,27.8
ZCTA5 01581,0.9,37.8,40.6,20.7
ZCTA5 01583,1,21.7,42.7,34.7
ZCTA5 01585,5.2,25.8,40.8,28.2
ZCTA5 01588,2.2,28.1,40.4,29.3
ZCTA5 01590,0.4,26.7,48.6,24.3
ZCTA5 01602,4.4,26.5,40.5,28.6
ZCTA5 01603,4.5,33.3,40.3,22
ZCTA5 01604,4.7,39.5,36.3,19.5
ZCTA5 01605,4.5,39.7,33.6,22.2
ZCTA5 01606,1.4,34.5,41.1,23.1
ZCTA5 01607,0.6,39.4,40.9,19
ZCTA5 01608,13.8,50.2,27.9,8.1
ZCTA5 01609,6.4,28.9,35.4,29.2
ZCTA5 01610,6.4,37.5,38.1,18
ZCTA5 01611,0.9,22.6,49.7,26.8
ZCTA5 01612,0,23.7,44.2,32.2
ZCTA5 01701,1.4,26.8,42.7,29.1
ZCTA5 01702,2.8,42.7,35.2,19.4
ZCTA5 01718,0,56.2,33.1,10.7
ZCTA5 01719,2.3,29.4,51.2,17.1
ZCTA5 01720,1,25.4,50.2,23.4
ZCTA5 01721,1.5,30.9,42.5,25.2
ZCTA5 01730,0.9,28.7,42.6,27.7
ZCTA5 01731,3.6,80.5,14.1,1.8
ZCTA5 01740,0.6,26,51.5,21.8
ZCTA5 01741,1.6,16,51.1,31.3
ZCTA5 01742,0.4,19.8,44.1,35.7
ZCTA5 01745,4.8,52.2,29.1,13.9
ZCTA5 01746,0.4,26.2,48.3,25.2
ZCTA5 01747,0,21,50.7,28.3
ZCTA5 01748,0,34.4,43.6,21.9
ZCTA5 01749,1.4,27.7,41,30
ZCTA5 01752,3.6,35,40.2,21.2
ZCTA5 01754,1.2,31.5,41.1,26.3
ZCTA5 01756,0,20.7,49.5,29.8
ZCTA5 01757,2.2,31.7,40.4,25.8
ZCTA5 01760,0.9,33.2,42.4,23.6
ZCTA5 01770,0,17.6,54.4,28
ZCTA5 01772,0.7,22.2,51.7,25.4
ZCTA5 01773,0,14.6,42.8,42.6
ZCTA5 01775,1.9,24.9,44.6,28.5
ZCTA5 01776,0,23.8,49.1,27
ZCTA5 01778,0.2,21.2,47.5,31.2
