,coefs,features
151,-0.6606081682513091,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Children's school
152,1.1040576364213341,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Christian charities
153,0.12609028034179642,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Church
154,-0.9462116876996584,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Church Sisterhood
155,0.5857909476292003,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Church and veterans
156,0.7770359386168155,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Church related projects
157,-0.5149750707455734,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Clean water for africa
158,-0.8515570552015512,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Clothes donation box
159,0.4422453029567372,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Clothing
160,-0.36393233956751847,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Conservative causes
161,0.8071795286927692,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Consumer Reports
162,-0.8663509627641386,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_D.A.V.
163,1.1619087025125103,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_DU
164,-0.21885076189703992,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Dance
165,-0.7811057850205579,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Disaster relief
166,0.6033085925321099,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Disaster relief Red Cross
167,1.1441287720996387,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Domestic Violence
168,-0.9711170357739549,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Domestic violence
169,-0.6955586849586887,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Don't support any causes
170,0.5023225417830435,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Donations of clothing
171,-0.18781094911121973,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Drug rehabilitation
172,0.6710067060889618,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Emergency commuications via ham radio.
173,-0.3450409819243878,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Epilepsy
174,0.6114785321963976,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Eradicating hunger
175,-0.5033560488921257,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_FEEDING AMERICA
176,-1.1175156264331851,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Fighting Hunger
177,0.6354582586927806,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Firemen
178,-0.3415896665030198,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Food Bank
179,-0.964682590942602,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Food Shelf
180,0.6458348760234208,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Food banks
181,0.5972319162022006,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Food insecurity
182,1.075050341899225,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Foreign missionaries
183,-0.3656991908275589,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Foster Care
184,-0.622110237964973,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Freedom of speech
185,-0.8483219796787145,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Fundraising for athletic program
186,-0.46570668519564323,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Golden Retriever Rescue
187,0.9428061831879507,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Goodwill
188,0.7617498751537137,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Gun Rights
189,0.18396078185585507,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Gun rights
190,0.38512621691426485,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Have not made any donations and I'm disabled so volunteering isn't an option
191,0.6156492832295567,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Homeless
192,-0.46401880807758833,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Homeschooling
193,0.3064781734323423,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Human wrights
194,0.4958545994783168,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Humane society
195,-0.6701647991037651,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Hunger
196,-0.09831489630035703,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_I have not donated at all
197,0.4324842303361233,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_I have not donated to anyone or anything
198,0.4825205230857677,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_I haven't done anything
199,-0.8622008210033856,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_I haven't made any donations due to not having any income
200,0.28646440605752177,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_I havent donated in a long time
201,0.21901966574974352,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Immigration
202,-0.3938505002639693,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Injured military veterans
203,-0.6605418425354164,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_International children
204,-0.537803819711183,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Live nonprofit streams
205,-0.8263985828028001,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Local charities
206,0.37830898804034235,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Local fire dept.  volunteers
207,-0.6944920620295493,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Local nature center
208,-0.851452831903682,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Lowerence
209,-0.6088418450150445,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Medical studies
210,-0.1473298770115543,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Military
211,-0.4741871898128221,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Military disabled
212,-0.45142681069923346,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Mission
213,0.3799768059454258,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Missions
214,0.6432724774870608,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Muscular Dystrophy Assoc.
215,0.4049787979506332,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_My Church
216,0.7488003667802292,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_My church
217,0.834384348286094,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_My church and foreign missions
218,-0.6940101181831612,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_N/a?.
219,-1.3291565292737408,"Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_NADA, NONE OF THESE"
220,0.13018791405272212,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_NONE
221,0.19904549223825588,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_NONE AT ALL
222,-0.8994111248271558,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Na
223,0.22368046334492966,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_None
224,0.5541788294943868,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_None of these
225,0.748690699519039,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_None that stuff is for losers
226,-0.4135022791854281,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Nothing
227,0.26552578377579433,"Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_O.U.R., Mercury charities, Nazerne Fund"
228,-0.28421493078874954,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Other
229,0.5170493956782671,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Others
230,0.27972391985380807,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_PBA organization
231,-0.568730583333889,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Paralyzed veterans
232,-0.40545378044415387,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Peace
233,0.8071750867007573,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Personal appeals for help
234,0.571247104864763,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Poverty
235,-0.8505701028632138,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Preserving a historical site.
236,0.2672647899672883,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Refuse to answer
237,-0.3276744781012307,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Religious
238,-1.4756973585150925,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Religious Contributions
239,-0.5755886082832427,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Roman Catholic Church
240,0.7964634827483854,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Save the pygmies
241,-0.8689737006117566,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Schools sports
242,-0.7236497159880411,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Senior Services
243,-0.7444711042425368,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Senior centers
244,-0.8687764374485105,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Seniors' issues Medicare. Sam
245,-0.41252381824557594,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Shriners
246,0.5288650984341193,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Special Olympics
247,0.8971675838200028,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_St Jude
248,-0.9308498135059997,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_St. Judes hospital
249,-0.7525564309026396,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_St.jude
250,1.1372681549816863,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_The American people taking back America.
251,0.21418510817642122,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_The Oklahoma COVID-19 Memorial Project
252,0.4193441431608954,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_The elections
253,0.9166557727621153,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Thrift store donations
254,0.6233896397856332,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_VA VETS
255,0.7160584615884917,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Veteran causes
256,-0.9566515124037707,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Veteran support
257,0.789604959922612,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Veteran's Rights
258,0.20896206093672037,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Veterans
259,0.44763407833196656,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Veterans affairs
260,0.2555948771003837,"Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Veterans,  "
261,-0.3761738999090312,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Veterns
262,0.33688532458503434,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Volunteer at my church
263,0.4337610393748037,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Voting
264,1.1157758369485828,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Walking dogs.   Sharing posts of dogs
265,-1.2436437801237286,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_What you're saying
266,-0.8457698193845751,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Wikipedia
267,-0.7170717376969755,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Wildfire Fund
268,-0.9194192158923519,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_World relief missions
269,-0.6582284478317948,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Youth organization
270,-0.39816871124345254,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_anti circumcision of babies
271,0.899495425968208,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_cancer research
272,0.7069971579482001,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_charity
273,0.6130646116901018,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_children St Jude
274,-0.5065068629477804,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_children's adoption
275,-0.4650136402181404,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_christian outreach cemters
276,0.9304703232935934,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_christian radio
277,-0.49513997079041105,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_church
278,-0.6372413435517804,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_community gardening
279,-0.8284432797120097,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_compassion international
280,0.6452745637841073,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_donation of clothing
281,0.25152210988771534,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_donations; items
282,0.922104231794132,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_fire co
283,-0.8580853885277792,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_food bank
284,0.9233945164727062,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_food insecurity
285,-0.8866915506173413,"Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_food insecurity, religious, cultural"
286,0.7306825025151499,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_food shelves
287,0.27023437549217333,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_good will
288,-0.6316075043821152,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_homeless shelter
289,0.7557476885553304,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_humanitarian efforts after hurricane
290,0.5396675614117374,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_hunger
291,0.8069460403007047,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_international travel
292,-1.0225652940126793,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_local
293,-0.6556143581015867,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_material things
294,0.6247368229976923,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_military events to raise funds for disabled vets etc
295,0.9774760179983277,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_my church
296,0.6557893861488941,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_na
297,0.16564976992548067,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_none
298,0.6882002085210376,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_none of above
